ID,WILLAYA_ID,COMMUNE_ID,COMMUNE,COMMUNE_ARABIC,RISK,CAPITAL_ASSURE
1319,40,12,DJELLAL,جلال,1,1000000.0
1320,40,13,BABAR,بابار,1,0.0
1321,40,14,TAMSA,تامزة,1,0.0
1322,40,15,ENSIGHA,انسيغة,1,0.0
1323,40,16,OULED RECHACHE,أولاد رشاش,1,0.0
1324,40,17,MAHMEL,المحمل,1,0.0
1325,40,18,MSARA,أمصارة,1,0.0
1326,40,19,YABOUS,يابوس,1,0.0
1327,40,20,KHIRANE,خيران,1,2000000.0
1328,40,21,CHELIA,شلية,1,0.0
1329,41,01,SOUK AHRAS,سوق أھراس,1,338240000.0
1330,41,02,SEDRATA,سدراتة,1,3000000.0
1331,41,03,HANANCHA,الحنانشة,1,0.0
1332,41,04,MECHROHA,المشروخة,1,0.0
1333,41,05,OULED DRISS,أولاد ادريس,1,1100000.0
1334,41,06,TIFFECHE,تيفاش,1,0.0
1335,41,07,ZAAROURIA,الزعرورية,1,0.0
1336,41,08,TAOURA,تاورة,1,0.0
1337,41,09,DREA,الدريعة,1,0.0
1338,41,10,HADDADA,الحدادة,1,0.0
1339,41,11,KHEDARA,لخضارة,1,0.0
1340,41,12,MERAHNA,المرھنة,1,1000000.0
1341,41,13,OULED MOUMEN,أولاد مؤمن,1,0.0
1342,41,14,BIR BOUHOUCHE,بئر بوحوش,1,0.0
1343,41,15,M'DAOUROUCH,مداوروش,1,0.0
1344,41,16,OUM EL ADHAIM,أم الغظائم,1,0.0
1345,41,17,AIN ZANA,عين الزانة,1,0.0
1346,41,18,AIN SOLTANE,عين السلطان,1,0.0
1347,41,19,OUILLEN,ويلان,1,0.0
1348,41,20,SIDI FREDJ,سيدي فرج,1,2000000.0
1349,41,21,SAFEL EL OUIDEN,سافل الويدان,1,0.0
1350,41,22,RAGOUBA,الرقوبة,1,0.0
1351,41,23,KHEMISSA,خميسة,1,0.0
1352,41,24,OUED KEBERIT,وادى الكبريت,1,1000000.0
1353,41,25,TERRAGUELIT,ترقالت,1,0.0
1354,41,26,ZOUABI,الزوابى,1,0.0
1355,42,01,TIPAZA,تيبازة,4,338240000.0
1356,42,02,MENACEUR,مناصرة,4,3000000.0
1357,42,03,LARHAT,الأرھاط,4,0.0
1358,42,04,DOUAOUDA,دواودة,4,0.0
1359,42,05,BOURKIKA,بورقيقة,4,1100000.0
1360,42,06,KHEMISTI,خميستي,4,0.0
1361,42,10,AGHBAL,أغابال,4,0.0
1362,42,12,HADJOUT,حجوط,4,1000000.0
1363,42,13,SIDI AMAR,سيدي عمر,4,0.0
1364,42,14,GOURAYA,قوراية,4,0.0
1365,42,15,NADOR,الناظور,4,0.0
1366,42,16,CHAIBA,الشعيبة,4,0.0
1367,42,17,AIN TAGOURAIT,عين تقورايت,4,0.0
1368,42,22,CHERCHELL,شرشال,4,0.0
1369,42,23,DAMOUS,الداموس,4,0.0
1370,42,24,MERAD,مراد,4,1000000.0
1371,42,25,FOUKA,فوكة,4,0.0
1372,42,26,BOU ISMAIL,بواسماعيل,4,0.0
1373,42,27,AHMER EL AIN,أحمر العين,4,0.0
1374,42,30,BOUHAROUN,بوھارون,4,7000000.0
1375,42,32,SIDI GHILES,سيدي غيلاس,4,43920000.0
1376,42,33,MESSELMOUN,مسلمون,4,9836000.0
1377,42,34,SIDI RACHED,سيدي راشد,4,778649693.05
1378,42,35,KOLEA,القليعة,4,16039550.0
1379,42,36,ATTATBA,الحطاطبة,4,0.0
1380,42,40,SIDI SEMIANE,سيدي سميان,4,0.0
1381,42,41,BENI MILLEUK,بني ملوك,4,20265000.0
1382,42,42,HADJERET ENNOUS,حجرة النص,4,2145000.0
1383,43,01,MILA,ميلة,2,338240000.0
1384,43,02,FERDJIOUA,فرجيوة,2,3000000.0
1385,43,03,CHELGHOUM LAID,شلغوم العيد,2,0.0
1386,43,04,OUED ATHMANIA,وادي العثمانية,2,0.0
1387,43,05,AIN MELLOUK,عين ملوك,2,1100000.0
1388,43,06,TELERGHEMA,ثلارغمة,2,0.0
